Marca;Modelo;Motor;Combustible;Elemento;Denominacion;Codigo Man;Codigo Wix;Descripcion
ALFA ROMEO;146;1.9 JTD;Diesel;Filtro de aire;A;C 25 100/1;WA6737;Atmósera con mucho polvo
ALFA ROMEO;146;1.9 TD;Diesel;Filtro de aire;A;C 2571/1;WA6203;
ALFA ROMEO;146;1.9 TD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;146;1.9 TD;Diesel;Filtro de aceite;O;W 1126/4;WL7324;
ALFA ROMEO;146;1.9 TD;Diesel;Filtro de combustible;F;WK 836;WF8068;
ALFA ROMEO;146;1.9 TD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;146;2.0 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;146;2.0 16V;Nafta;Filtro de aire;A;C 2571/1;WA6203;
ALFA ROMEO;146;2.0 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;146;2.0 16V;Nafta;Filtro de aceite;O;W 713/16;WL7086;
ALFA ROMEO;146;2.0 16V;Nafta;Filtro de combustible;F;WK 830/6 x;#N/A;
ALFA ROMEO;146;2.0 16V;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;146;2.0 T.S. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;146;2.0 T.S. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;146;2.0 T.S. 16V;Nafta;Filtro de combustible;F;WK 512;WF8101;
ALFA ROMEO;146;2.0 T.S. 16V;Nafta;Filtro de aceite;O;W 712/16;WL7086;Parcialmente / o
ALFA ROMEO;146;2.0 T.S. 16V;Nafta;Filtro de aire;A;C 25 100/1;WA6737;
ALFA ROMEO;146;2.0 T.S. 16V;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;146;2.0 TD;Diesel;Filtro de combustible;F;WK 836;WF8068;
ALFA ROMEO;146;2.0 TD;Diesel;Filtro de aceite;O;W 1126/4;#N/A;
ALFA ROMEO;146;2.0 TD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;146;2.0 TD;Diesel;Filtro de aire;A;C 2571/1;WA6203;
ALFA ROMEO;146;2.0 TD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;147;1.6 TS;Nafta;Filtro de aire;A;C 3188;#N/A;
ALFA ROMEO;147;1.6 TS;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;147;1.6 TS;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;147;1.6 TS;Nafta;Filtro de aire;A;C 3188;#N/A;
ALFA ROMEO;147;1.6 TS;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;147;1.9 JTD;Diesel;Filtro de combustible;F;WK 854/5;WF8277;
ALFA ROMEO;147;1.9 JTD;Diesel;Filtro de combustible;F;WK 854/6;WF8277;
ALFA ROMEO;147;1.9 JTD 16V;Diesel;Filtro de combustible;F;WK 854/5;WF8277;
ALFA ROMEO;147;1.9 JTD 16V;Diesel;Filtro de combustible;F;WK 854/6;WF8277;
ALFA ROMEO;147;1.9 JTD 16V;Diesel;Filtro de combustible;F;WK 854/5;WF8277;
ALFA ROMEO;147;1.9 JTD 16V;Diesel;Filtro de combustible;F;WK 854/6;WF8277;
ALFA ROMEO;147;2.0;Nafta;Filtro de aceite;O;W 7053;WL7086;
ALFA ROMEO;147;2.0;Nafta;Filtro de aire;A;C 3188;#N/A;
ALFA ROMEO;147;2.0;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;147;2.0 TS;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;147;2.0 TS;Nafta;Filtro de aire;A;C 3188;#N/A;
ALFA ROMEO;147;2.0 TS;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;147;3.2 V6 24V GTA;Nafta;Filtro de aire;A;C 1589/3;#N/A;
ALFA ROMEO;155;1.6 T.S.;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;155;1.6 T.S.;Nafta;Filtro de combustible;F;WK 512;WF8101;
ALFA ROMEO;155;1.6 T.S.;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;155;1.6 T.S.;Nafta;Filtro de aire;A;C 25 100/1;WA6737;Atmósera con mucho polvo
ALFA ROMEO;155;1.6 T.S.;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;155;1.8 T.S. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;155;1.8 T.S. 16V;Nafta;Filtro de combustible;F;WK 512;WF8101;
ALFA ROMEO;155;1.8 T.S. 16V;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;155;1.8 T.S. 16V;Nafta;Filtro de aire;A;C 25 100/1;WA6737;Atmósera con mucho polvo
ALFA ROMEO;155;1.8 T.S. 16V;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;155;1.9 TD;Diesel;Filtro de combustible;F;WK 836;WF8068;
ALFA ROMEO;155;1.9 TD;Diesel;Filtro de aceite;O;W 1126/4;WL7324;
ALFA ROMEO;155;1.9 TD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;155;1.9 TD;Diesel;Filtro de aire;A;C 2571/1;WA6203;
ALFA ROMEO;155;1.9 TD;Diesel;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;155;2.0 16V Turbo Q4;Nafta;Filtro de aceite;O;W 920/21;WL7324;
ALFA ROMEO;155;2.0 16V Turbo Q4;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;155;2.0 16V Turbo Q4;Nafta;Filtro de aire;A;C 2571;#N/A;
ALFA ROMEO;155;2.0 16V Turbo Q4;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;155;2.0 16V Turbo Q4;Nafta;Filtro de aire;A;C 2571;#N/A;
ALFA ROMEO;155;2.0 16V Turbo Q4;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;155;2.0 T.S.;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;155;2.0 T.S.;Nafta;Filtro de aire;A;C 2571;#N/A;
ALFA ROMEO;155;2.0 T.S.;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;155;2.0 T.S.;Nafta;Filtro de aceite;O;W 920/21;WL7067;
ALFA ROMEO;155;2.0 T.S. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;155;2.0 T.S. 16V;Nafta;Filtro de aire;A;C 2571;#N/A;
ALFA ROMEO;155;2.0 T.S. 16V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;155;2.0 T.S. 16V;Nafta;Filtro de aceite;O;W 712/16;WL7067;
ALFA ROMEO;155;2.0 T.S. 16V;Nafta;Filtro de aceite;O;W 920/21;WL7067;
ALFA ROMEO;155;2.0 T.S. 16V;Nafta;Filtro de aceite;O;W 7053;WL7067;
ALFA ROMEO;155;2.0 Turbo;;Filtro de aceite;O;W 920/21;WL7067;
ALFA ROMEO;155;2.0 Turbo;;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;155;2.0 Turbo;;Filtro de aire;A;C 2571/1;WA6203;
ALFA ROMEO;155;2.0 Turbo;;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;155;2.5 V6;Nafta;Filtro de aceite;O;W 920/21;WL7067;
ALFA ROMEO;155;2.5 V6;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;155;2.5 V6;Nafta;Filtro de aire;A;C 2571/1;WA6203;
ALFA ROMEO;155;2.5 V6;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;155;2.5 V6;Nafta;Filtro de aceite;O;W 920/21;WL7067;
ALFA ROMEO;155;2.5 V6;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;155;2.5 V6;Nafta;Filtro de aire;A;C 2571/1;WA6203;
ALFA ROMEO;155;2.5 V6;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;Con aire acondicionado
ALFA ROMEO;156 / 156 Sportwagon;2.0 T.Spark 16V;Nafta;Filtro de aire de cabina;CA;CU 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.0 T.Spark 16V;Nafta;Filtro de aire de cabina;CA;CUK 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.0 T.Spark 16V;Nafta;Filtro de aire de cabina;CA;CU 2951;WP6870;
ALFA ROMEO;156 / 156 Sportwagon;2.0 T.Spark 16V;Nafta;Filtro de aire;A;C 1589/3;46834;
ALFA ROMEO;156 / 156 Sportwagon;2.0 T.Spark 16V;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;156 / 156 Sportwagon;2.0 T.Spark 16V;Nafta;Filtro de aire;A;C 25 100/1;46834;
ALFA ROMEO;156 / 156 Sportwagon;2.0 T.Spark 16V;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire de cabina;CA;CU 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire de cabina;CA;CUK 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire;A;C 1589/3;#N/A;
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de combustible;F;WK 853/8;WF8277;
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aceite;O;W 714/4;WL10482;
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire de cabina;CA;CU 2951;WP6870;
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire de cabina;CA;CUK 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire de cabina;CA;CU 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire de cabina;CA;CUK 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire;A;C 1589/3;#N/A;
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aceite;O;W 714/4;WL10482;
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de combustible;F;WK 854/6;WF8277;
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire de cabina;CA;CU 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire de cabina;CA;CUK 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aire;A;C 1589/3;#N/A;
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de combustible;F;WK 854/5;WF8277;
ALFA ROMEO;156 / 156 Sportwagon;2.4 JTD;Diesel;Filtro de aceite;O;W 7003;WL10482;
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aire de cabina;CA;CU 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aire de cabina;CA;CUK 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aire de cabina;CA;CU 2951;WP6870;
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aire;A;C 1589/3;#N/A;
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aire de cabina;CA;CU 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aire de cabina;CA;CUK 2951;WP6870;Volante a la izquierda
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aire;A;C 1589/3;#N/A;
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aceite;O;W 712/16;WL7086;
ALFA ROMEO;156 / 156 Sportwagon;2.5 V6 24V;Nafta;Filtro de aceite;O;W 712/47;WL7086;
ALFA ROMEO;159 / 159 Sportwagon;1.8 TBI 16V;Nafta;Filtro de aceite;O;HU 712/11 x;WL7464;
ALFA ROMEO;159 / 159 Sportwagon;1.9 JTDM 16V;Diesel;Filtro de aceite;O;HU 712/11 x;WL7464;Sistema de filtración UFI
ALFA ROMEO;159 / 159 Sportwagon;1.9 JTDM 16V;Diesel;Filtro de combustible;F;WK 853/21;WF8408;
ALFA ROMEO;159 / 159 Sportwagon;2.2 JTS 16V;Nafta;Filtro de aceite;O;HU 6007 x;WL7295;
ALFA ROMEO;159 / 159 Sportwagon;2.4 JTDM 20V;Diesel;Filtro de combustible;F;WK 853/21;WF8408;
ALFA ROMEO;164;2.0 T.S.;Nafta;Filtro de aire de cabina;CA;CU 3136;#N/A;Con aire acondicionado
ALFA ROMEO;164;2.0 T.S.;Nafta;Filtro de aire de cabina;CA;CU 3136;#N/A;
ALFA ROMEO;164;2.0 T.S.;Nafta;Filtro de combustible;F;WK 830/6 x;#N/A;
ALFA ROMEO;164;2.0 T.S.;Nafta;Filtro de aceite;O;W 920/21;WL7067;
ALFA ROMEO;164;2.0 T.S.;Nafta;Filtro de aire de cabina;CA;CU 3136;#N/A;Con aire acondicionado
ALFA ROMEO;164;2.0 T.S.;Nafta;Filtro de aire de cabina;CA;CU 3136;#N/A;
ALFA ROMEO;164;2.0 T.S.;Nafta;Filtro de aceite;O;W 713/4;WL7067;
ALFA ROMEO;164;2.0 T.S.;Nafta;Filtro de combustible;F;WK 830/6 x;#N/A;
ALFA ROMEO;164;2.5 TD;Diesel;Filtro de aire de cabina;CA;CU 3136;#N/A;Con aire acondicionado
ALFA ROMEO;164;2.5 TD;Diesel;Filtro de aire de cabina;CA;CU 3136;#N/A;Con aire acondicionado
ALFA ROMEO;164;2.5 TD;Diesel;Filtro de combustible;F;WK 842/2;33472E;
ALFA ROMEO;164;2.5 TD;Diesel;Filtro de aceite;O;W 717/2;#N/A;
ALFA ROMEO;164;3.0 V6;;Filtro de aire de cabina;CA;CU 3136;#N/A;Con aire acondicionado
ALFA ROMEO;164;3.0 V6;;Filtro de aire de cabina;CA;CU 3136;#N/A;
ALFA ROMEO;164;3.0 V6;;Filtro de aceite;O;W 713/4;WL7067;
ALFA ROMEO;164;3.0 V6;;Filtro de combustible;F;WK 830/6 x;#N/A;
ALFA ROMEO;164;3.0 V6;;Filtro de aceite;O;W 920/21;WL7067;
ALFA ROMEO;166;2.5 V6 24V;Nafta;Filtro de aceite;O;W 713/4;WL7324;
ALFA ROMEO;166;3.0 V6 24V;Nafta;Filtro de aire;A;C 1589/3;#N/A;
ALFA ROMEO;166;3.0 V6 24V;Nafta;Filtro de aire;A;C 1589/3;#N/A;
ALFA ROMEO;33;1.5;;Filtro de combustible;F;WK 42/1;WF8140;
ALFA ROMEO;33;1.5;;Filtro de aceite;O;W 920/21;WL7067;
ALFA ROMEO;33;1.5 4x4;Nafta;Filtro de combustible;F;WK 42/1;WF8140;
ALFA ROMEO;33;1.5 4x4;Nafta;Filtro de aceite;O;W 920/21;WL7067;
ALFA ROMEO;33;1.7 16V 4x4;Nafta;Filtro de aceite;O;W 717/2;#N/A;
ALFA ROMEO;33;1.7 i.e.;Nafta;Filtro de aceite;O;W 717/2;#N/A;
ALFA ROMEO;33;1.7 i.e.;;Filtro de aceite;O;W 714/2;#N/A;
ALFA ROMEO;75;2.5 V6 KAT;Nafta;Filtro de combustible;F;WK 830/7;WF8040;
ALFA ROMEO;75;2.5 V6 KAT;Nafta;Filtro de aceite;O;W 1126;#N/A;
ALFA ROMEO;Alfa 6;2.5 TD;Diesel;Filtro de combustible;F;WK 842/2;33472E;
ALFA ROMEO;Alfa 6;2.5 TD;Diesel;Filtro de aceite;O;W 717/2;#N/A;
ALFA ROMEO;Alfetta;2.0 TD;Diesel;Filtro de aceite;O;W 717/2;#N/A;
ALFA ROMEO;Alfetta;2.0 TD;Diesel;Filtro de combustible;F;WK 842/2;33472E;
ALFA ROMEO;Alfetta;2.4 TD;Diesel;Filtro de combustible;F;WK 842/2;WF8042;
ALFA ROMEO;Alfetta;2.4 TD;Diesel;Filtro de aceite;O;W 717/2;#N/A;
ALFA ROMEO;Alfetta GT / Alfa GTV;GTV 6 2.5;Nafta;Filtro de combustible;F;WK 830/7;WF8040;
ALFA ROMEO;Alfetta GT / Alfa GTV;GTV 6 2.5;Nafta;Filtro de aceite;O;W 1126;#N/A;
ALFA ROMEO;GT;1.9 JTD 16V;Diesel;Filtro de combustible;F;WK 854/5;#N/A;
ALFA ROMEO;GT;1.9 JTD 16V;Diesel;Filtro de aceite;O;W 7003;WL10482;
ALFA ROMEO;GT;3.2 V6 24V;Nafta;Filtro de aire;A;C 1589/3;#N/A;
ALFA ROMEO;GTV Coupé (916C);3.0 24V;Nafta;Filtro de aire de cabina;CA;CU 3942;WP6866;
ALFA ROMEO;GTV Coupé (916C);3.0 24V;Nafta;Filtro de aire;A;C 1589/3;#N/A;
ALFA ROMEO;GTV Coupé (916C);3.0 24V;Nafta;Filtro de aceite;O;W 713/4;WL7324;
ALFA ROMEO;GTV Coupé (916C);3.0 24V;Nafta;Filtro de combustible;F;WK 830/6 x;#N/A;
ALFA ROMEO;Giulia (952);2.0 Turbo;Nafta;Filtro de aceite;O;W 7056;WL7530;
ALFA ROMEO;Giulia (952);2.0 Turbo;Nafta;Filtro de aceite;O;W 7030;WL7530;
ALFA ROMEO;Giulia (952);2.0 Turbo;Nafta;Filtro de aceite;O;W 7056;WL7530;
ALFA ROMEO;Giulia (952);2.0 Turbo;Nafta;Filtro de aceite;O;W 7030;WL7530;
ALFA ROMEO;Giulietta (940);1.4 TB 16V;Nafta;Filtro de aire de cabina;CA;CU 23 009;WP2018;
ALFA ROMEO;Giulietta (940);1.4 TB 16V;Nafta;Filtro de aceite;O;HU 713/1 x;WL7408;
ALFA ROMEO;Giulietta (940);1.4 TB 16V;Nafta;Filtro de aire;A;C 15 007;WA9687;
ALFA ROMEO;Giulietta (940);1.4 TB 16V Multiair;Nafta;Filtro de aire;A;C 15 007;WA9687;
ALFA ROMEO;Giulietta (940);1.4 TB 16V Multiair;Nafta;Filtro de aceite;O;HU 713/1 x;WL7408;
ALFA ROMEO;Giulietta (940);1.4 TB 16V Multiair;Nafta;Filtro de aire de cabina;CA;CU 23 009;WP2018;
ALFA ROMEO;Giulietta (940);1.8 TBi 16V;Nafta;Filtro de aire de cabina;CA;CU 23 009;WP2018;
ALFA ROMEO;Giulietta (940);1.8 TBi 16V;Nafta;Filtro de aceite;O;HU 712/11 x;WL7464;
ALFA ROMEO;Giulietta (940);1.8 TBi 16V;Nafta;Filtro de aire;A;C 15 005;#N/A;
ALFA ROMEO;MiTo;1.4;Nafta;Filtro de aceite;O;W 610/3;#N/A;
ALFA ROMEO;MiTo;1.4;Nafta;Filtro de aire de cabina;CA;CU 2243;WP9250;
ALFA ROMEO;MiTo;1.4 16V;Nafta;Filtro de aire;A;C 3275;WA6769;
ALFA ROMEO;MiTo;1.4 16V;Nafta;Filtro de aceite;O;W 610/3;WL10489A;
ALFA ROMEO;MiTo;1.4 16V;Nafta;Filtro de aire de cabina;CA;CU 2243;WP9250;
ALFA ROMEO;MiTo;1.4 TB 16V;Nafta;Filtro de aire;A;C 32 008;WA9736;
ALFA ROMEO;MiTo;1.4 TB 16V;Nafta;Filtro de aceite;O;HU 713/1 x;WL7408;
ALFA ROMEO;MiTo;1.4 TB 16V;Nafta;Filtro de aire de cabina;CA;CU 2243;WP9250;
ALFA ROMEO;MiTo;1.4 TB 16V;Nafta;Filtro de aire;A;C 21 106;WA9736;
ALFA ROMEO;MiTo;1.4 TB 16V;Nafta;Filtro de aceite;O;HU 713/1 x;WL7408;
ALFA ROMEO;MiTo;1.4 TB 16V;Nafta;Filtro de aire de cabina;CA;CU 2243;WP9250;
ALFA ROMEO;MiTo;1.4 TB 16V Multiair;Nafta;Filtro de aire;A;C 21 106;WA9560;
ALFA ROMEO;MiTo;1.4 TB 16V Multiair;Nafta;Filtro de aceite;O;HU 713/1 x;WL7408;
ALFA ROMEO;MiTo;1.4 TB 16V Multiair;Nafta;Filtro de aire de cabina;CA;CU 2243;WP9250;
ALFA ROMEO;MiTo;1.4 TB 16V Multiair;Nafta;Filtro de aire;A;C 21 106;WA9560;
ALFA ROMEO;MiTo;1.4 TB 16V Multiair;Nafta;Filtro de aceite;O;HU 713/1 x;WL7408;
ALFA ROMEO;MiTo;1.4 TB 16V Multiair;Nafta;Filtro de aire de cabina;CA;CU 2243;WP9250;
ALFA ROMEO;Spider (105/115);3.0i V6 12V Twin Spark;;Filtro de aire de cabina;CA;CU 3942;WP6866;
